census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
390,2121,Kandhamal,390,Kandhamal,Kandhamal,Kandhamal,0,
24,202,Kangra,24,Kangra,Kangra,Kangra,244,
413,2214,Kanker,413,Uttar Bastar Kanker,Kanker,Kanker,0,
160,929,Kannauj,160,Kannauj,,Kannauj,0,
589,3202,Kannur,589,Kannur,Kannur,Kannur,1,
163,932,Kanpur Dehat,163,Kanpur Dehat,Kanpur Dehat,Kanpur Dehat,10,
164,933,Kanpur Nagar,164,Kanpur Nagar,Kanpur Nagar,Kanpur Nagar,22,
629,3328,Kanyakumari,629,Kanniyakumari,Kanyakumari,Kanyakumari,26,
36,302,Kapurthala,36,Kapurthala ,Kapurthala,Kapurthala,5,
637,3404,Karaikal,637,Karaikal,Karaikal,Karaikal,0,
107,809,Karauli,107,Karauli ,Karauli,Karauli,0,
314,1815,Karbi Anglong,314,Karbi Anglong,Karbi Anglong,Karbi Anglong,0,
4,104,Kargil,4,Kargil,Kargil,Kargil,0,
317,1818,Karimganj,317,Karimganj,,Karimganj,0,
534,3603,Karimnagar,534,Karimnagar,Karimnagar,Karimnagar,34,Siddipet
74,606,Karnal,74,Karnal,Karnal,Karnal,6,
613,3312,Karur,613,Karur ,Karur,Karur,6,
588,3201,Kasaragod,588,Kasaragod,,Kasaragod,0,
7,107,Kathua,7,Kathua,Kathua,Kathua,3,
212,1010,Katihar,212,Katihar,Katihar,Katihar,0,
450,2333,Katni,450,Katni ,Katni,Katni,6,
174,943,Kaushambi,174,Kaushambi,,Kaushambi,0,
407,2208,Kawardha,407,kabir dham,,Kawardha,0,
379,2110,Kendrapara,379,Kendrapara ,,Kendrapara,0,
375,2106,Kendujhar,375,Kendujhar,,Kendujhar,40,
223,1021,Khagaria,223,Khagaria,Khagaria,Khagaria,0,
541,3610,Khammam,541,Khammam,Khammam,Khammam,21,
466,2349,Khandwa,466,Khandwa (East Nimar),Khandwa,Khandwa,0,Burhanpur
440,2323,Khargone,440,Khargone (West Nimar),Khargone,Khargone,9,
483,2416,Kheda,483,Kheda,Kheda,Kheda,15,
386,2117,Khordha,386,Khordha ,Khordha,Khorda,39,
34,212,Kinnaur,34,Kinnaur,,Kinnaur,0,
210,1008,Kishanganj,210,Kishanganj,Kishanganj,Kishanganj,0,
576,2922,Kodagu,576,Kodagu,Kodagu,Kodagu,1,
348,2003,Koderma,348,Kodarma,Koderma,Koderma,0,
270,1310,Kohima,270,Kohima,Kohima,Kohima,0,Peren
300,1801,Kokrajhar,300,Kokrajhar,Kokrajhar,Kokrajhar,6,
581,2927,Kolar,581,Kolar,Kolar,Kolar,28,Chikkaballapura
282,1502,Kolasib,282,Kolasib,,Kolasib,0,
530,2734,Kolhapur,530,Kolhapur,Kolhapur,Kolhapur,57,
342,1916,Kolkata,342,Kolkata,Kolkata,Kolkata,198,
600,3213,Kollam,600,Kollam,Kollam,Kollam,0,
560,2906,Koppal,560,Koppal,Koppal,Koppal,9,
398,2129,Koraput,398,Koraput,Koraput,Koraput,1,
404,2205,Korba,404,Korba ,Korba,Korba,9,
400,2201,Koriya,400,Koriya,,Koriya,2,
127,829,Kota,127,Kota ,Kota,Kota,13,
