census_code,id,dist_name,id(ours),dist_name(ors),ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
362,2017,Dumka,362,Dumka,1,1,1,1,1,2,7,1,Jamtara
364,2019,Ranchi,364,Ranchi,3,1,2,1,2,1,10,1,Khunti
366,2021,Gumla,366,Gumla,1,1,1,1,1,1,6,1,Simdega
368,2023,West Singhbhum,368,Pashchimi Singhbhum,2,1,3,1,2,2,11,2,Saraikela-Kharsawan
370,2101,Bargarh,370,Bargarh,1,1,1,1,2,2,8,1,
371,2102,Jharsuguda,371,Jharsuguda,3,3,3,3,3,3,18,3,
372,2103,Sambalpur,372,Sambalpur,2,3,3,1,3,2,14,2,
373,,,,,1,1,1,1,1,2,7,1,
374,2105,Sundargarh,374,Sundargarh,2,3,1,1,3,3,13,2,
375,2106,Kendujhar,375,Kendujhar,2,1,1,1,2,2,9,1,
376,2107,Mayurbhanj,376,Mayurbhanj,1,1,1,1,1,2,7,1,
377,2108,Balasore,377,Baleshwar,2,2,2,2,3,2,13,2,
378,2109,Bhadrak,378,Bhadrak,1,1,1,2,3,2,10,1,
379,2110,Kendrapara,379,Kendrapara ,3,1,1,2,2,2,11,2,
380,2111,Jagatsinghpur,380,Jagatsinghapur ,2,3,2,2,3,2,14,2,
381,2112,Cuttack,381,Cuttack,3,1,1,3,3,3,14,2,
382,2113,Jajpur,382,Jajapur  ,2,2,1,2,3,2,12,2,
383,2114,Dhenkanal,383,Dhenkanal,2,2,1,1,3,1,10,1,
384,2115,Angul,384,Anugul,2,1,1,1,2,1,8,1,
385,2116,Nayagarh,385,Nayagarh  ,2,2,1,1,3,2,11,2,
386,2117,Khordha,386,Khordha ,3,3,3,3,3,1,16,3,
387,2118,Puri,387,Puri,2,3,1,2,3,2,13,2,
388,2119,Ganjam,388,Ganjam,2,1,1,1,2,2,9,1,
389,2120,Gajapati,389,Gajapati,1,1,1,1,2,2,8,1,
390,2121,Kandhamal,390,Kandhamal,1,1,1,1,1,1,6,1,
391,2122,Boudh,391,Boudh,1,1,1,1,1,2,7,1,
392,2123,Subarnapur,392,Subarnapur,1,1,1,1,2,2,8,1,
393,2124,Balangir,393,Balangir,2,1,1,1,2,2,9,1,
394,2125,Nuapada,394,Nuapada,1,1,1,1,2,2,8,1,
395,2126,Kalahandi,395,Kalahandi,1,1,1,1,1,2,7,1,
396,2127,Rayagada,396,Rayagada  ,1,1,1,1,2,2,8,1,
397,2128,Nabarangpur,397,Nabarangapur ,1,1,1,1,1,2,7,1,
398,2129,Koraput,398,Koraput,2,1,1,1,1,2,8,1,
399,2130,Malkangiri,399,Malkangiri  ,3,1,1,1,1,2,9,1,
400,2201,Koriya,400,Koriya,2,1,2,1,2,2,10,1,
