census_code,id,dist_name,id(ours),dist_name(ors),,,,ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
298,1706,East Khasi Hills,298,East Khasi Hills,East Khasi Hills,"[""East Khasi Hills""]",44700000,3,3,3,3,3,3,18,3,
251,1207,East Siang,251,East Siang,,,,3,2,2,1,3,3,14,2,
357,2012,East Singhbhum,357,East Singhbhum,,,,3,3,2,3,3,3,17,3,
595,3208,Ernakulam,595,Ernakulam,Ernakulam,"[""Ernakulam""]",551900000,3,3,3,3,3,1,16,3,
610,3309,Erode,610,Erode,Erode,"[""Erode""]",26300000,3,3,3,3,3,3,18,3,
201,970,Etah,201,Etah,Etah,"[""Etah""]",1800000,3,1,1,2,2,2,11,2,Kanshiram Nagar
161,930,Etawah,161,Etawah,,,,3,1,1,1,2,2,10,1,
177,946,Faizabad,177,Faizabad,Faizabad,"[""Faizabad""]",700000,3,1,2,1,1,2,10,1,
88,620,Faridabad,88,Faridabad,Faridabad,"[""Faridabad""]",165300000,3,3,3,3,3,3,18,3,Palwal 
,,,,,Palwal,"[""Palwal""]",18300000,,,,,,,,,
45,311,Faridkot,45,Faridkot,,,,3,3,3,3,3,3,18,3,
159,928,Farrukhabad,159,Farrukhabad,,,,3,1,1,2,2,2,11,2,
78,610,Fatehabad,78,Fatehabad,,,,3,2,2,2,3,3,15,3,
40,306,Fatehgarh Sahib,40,Fatehgarh Sahib,,,,3,3,3,3,3,3,18,3,
172,941,Fatehpur,172,Fatehpur,,,,2,1,1,1,1,2,8,1,
147,916,Firozabad,147,Firozabad,Firozabad,"[""Firozabad""]",100000,3,1,1,2,2,2,11,2,
43,309,Ferozepur,43,Firozpur,Ferozepur,"[""Ferozepur"",""Firozpur""]",23100000,3,2,2,2,3,2,14,2,
561,2907,Gadag,561,Gadag,Gadag,"[""Gadag""]",28400000,3,1,3,1,3,3,14,2,
508,2712,Gadchiroli,508,Gadchiroli,Gadchiroli,"[""Gadchiroli""]",33500000,1,1,2,1,3,2,10,1,
389,2120,Gajapati,389,Gajapati,,,,1,1,1,1,2,2,8,1,
473,2406,Gandhinagar,473,Gandhinagar,Gandhinagar,"[""Gandhinagar""]",79800000,3,3,3,3,3,3,18,3,
388,2119,Ganjam,388,Ganjam,Ganjam,"[""Ganjam""]",7500000,2,1,1,1,2,2,9,1,
346,2001,Garhwa,346,Garhwa ,,,,1,1,1,1,1,2,7,1,
61,506,Pauri Garhwal,61,Garhwal,Pauri Garhwal,"[""Pauri Garhwal""]",100000,3,2,3,1,3,3,15,3,
141,910,Gautam Buddh Nagar,141,Gautam Buddha Nagar,Gautam Buddh Nagar,"[""Gautam Buddha Nagar"",""Gautam Buddh Nagar""]",1061200000,3,3,3,3,3,3,18,3,
236,1034,Gaya,236,Gaya,Gaya,"[""Gaya""]",19100000,1,1,1,2,1,2,8,1,
140,909,Ghaziabad,140,Ghaziabad,Ghaziabad,"[""Ghaziabad""]",95900000,3,3,3,3,3,2,17,3,Hapur
,,,,,Hapur,"[""Hapur"",""Panchsheel Nagar""]",5900000,,,,,,,,,
195,964,Ghazipur,195,Ghazipur,Ghazipur,"[""Ghazipur""]",125700000,3,1,1,2,1,2,10,1,
349,2004,Giridih,349,Giridih,Giridih,"[""Giridih""]",11500000,1,1,2,1,1,1,7,1,
302,1803,Goalpara,302,Goalpara,Goalpara,"[""Goalpara""]",3700000,2,2,1,1,2,2,10,1,
351,2006,Godda,351,Godda,Godda,"[""Godda""]",300000,1,1,1,2,1,2,8,1,
313,1814,Golaghat,313,Golaghat,Golaghat,"[""Golaghat""]",197100000,2,2,1,1,2,3,11,2,
183,952,Gonda,183,Gonda,Gonda,"[""Gonda""]",1300000,3,1,1,1,1,2,9,1,
507,2711,Gondia,507,Gondiya,Gondia,"[""Gondia""]",95300000,2,2,3,1,3,2,13,2,
217,1015,Gopalganj,217,Gopalganj,,,,3,1,1,2,1,2,10,1,
188,957,Gorakhpur,188,Gorakhpur,Gorakhpur,"[""Gorakhpur""]",13500000,3,1,2,1,3,2,12,2,
579,2925,Gulbarga,579,Gulbarga,Gulbarga,"[""Kalaburagi"",""Gulbarga""]",17000000,3,2,2,1,3,3,14,2,Yadgir
366,2021,Gumla,366,Gumla,Gumla,"[""Gumla""]",200000,1,1,1,1,1,1,6,1,Simdega
,,,,,Simdega,"[""Simdega""]",4500000,,,,,,,,,
458,2341,Guna,458,Guna,Guna,"[""Guna""]",100000,1,1,2,1,3,2,10,1,Ashoknagar
548,3707,Guntur,548,Guntur,Guntur,"[""Guntur""]",125000000,2,2,3,3,3,3,16,3,
35,301,Gurdaspur,35,Gurdaspur,,,,3,2,3,3,3,3,17,3,
86,618,Gurgaon,86,Gurgaon,Gurgaon,"[""Gurgaon"",""Gurugram""]",1166800000,3,3,3,3,3,3,18,3,Mewat 
,,,,,Mewat,"[""Mewat""]",74500000,,,,,,,,,
421,2304,Gwalior,421,Gwalior,Gwalior,"[""Gwalior""]",16400000,3,3,3,3,3,3,18,3,
318,1819,Hailakandi,318,Hailakandi,Hailakandi,"[""Hailakandi""]",0,2,2,1,1,1,1,8,1,
