city/ town/ tehsil,district,constituency,No of factories
khapri,Nagpur,nagpur,1
"nagpur, nagapur ","nagpur, nagapur ",nagpur,463
khatima,Udham Singh Nagar,NAINITAL-UDHAMSINGH NAGAR,1
nainital,nainital,NAINITAL-UDHAMSINGH NAGAR,7
pantnagar,Udham Singh Nagar,NAINITAL-UDHAMSINGH NAGAR,5
rudrapur,Udham Singh Nagar,NAINITAL-UDHAMSINGH NAGAR,1
udham singh nagar,udham singh nagar,NAINITAL-UDHAMSINGH NAGAR,201
pawa,nalanda,nalanda,2
kodad,suryapet,nalgonda,1
nalgonda,nalgonda,NALGONDA,41
suryapet,suryapet,nalgonda,2
namakkal,namakkal,NAMAKKAL,2
nanded,nanded,NANDED,8
chhadvel korde,Dhule,nandurbar,1
nandurbar,nandurbar,NANDURBAR,1
vinukonda,guntur,narasaraopet,1
mundhegaon,nashik,NASHIK,4
nashik,nashik,NASHIK,205
navsari,navsari,NAVSARI,1
bayyavaram,vishakhapatnam,nellore,1
chodavaram,vishakhapatnam,nellore,1
duttalur,Nellore,Nellore,1
kasimkota,vishakhapatnam,nellore,1
nellore,nellore,nellore,31
sri potti sriramulu nellore district,Nellore,nellore,3
new delhi,new delhi,new delhi,90
cherambadi,Nilgiris,nilgiris,1
nilgiris,nilgiris,nilgiris,1
sathyamangalam,erode,nilgiris,1
nizamabad,nizamabad,nizamabad,10
calangute,North Goa,North Goa,1
colvale,North Goa,North Goa,2
north goa,north goa,north goa,80
panaji,north goa,north goa,8
north delhi,north delhi,north west delhi,1
north west delhi,north west delhi,north west delhi,18
shakti nagar,north delhi,north west delhi,6
nagaon,nagaon,nowgong,1
bestavaripeta,prakasam,ongole,1
prakasam,prakasam,ongole,24
osmanabad,osmanabad,osmanabad,2
churachandpur,churachandpur,outer manipur,1
palakkad,palakkad,palakkad,15
palamu,palamu,palamu,1
Banas Kantha,Banas Kantha,palanpur,2
chandisar,Banas Kantha,palanpur,1
palghar,palghar,palghar,48
sativli,thane,palghar,1
pali,pali,pali,2
panchmahal,panchmahal,panchmahal,39
parbhani,parbhani,parbhani,31
charanka,Patan,patan,2
patan,patan,patan,80
pathanamthitta,pathanamthitta,pathanamthitta,2
patiala,patiala,patiala,6
"patna, PATNA SAHIB ","patna, PATNA SAHIB ",patna sahib,36
ramagundam,pedapalli,PEDDAPALLE,5
perambalur,perambalur,perambalur,1
eripakkam,Pondicherry,Pondicherry,5
