CIN,COMPANY,AMOUNT,DISTRICT
U26109TN1997PTC037875,SAINT-GOBAIN INDIA PRIVATE LIMITED,35500000,CHENNAI
U26900GJ2012PLC069426,GUJARAT CREDO MINERAL INDUSTRIES LIMITED,200000,AHMEDABAD
U26900GJ2012PLC069426,GUJARAT CREDO MINERAL INDUSTRIES LIMITED,100000,GANDHINAGAR
U26900GJ2012PLC069426,GUJARAT CREDO MINERAL INDUSTRIES LIMITED,500000,KUTCH
U26900GJ2012PLC069426,GUJARAT CREDO MINERAL INDUSTRIES LIMITED,1000000,KUTCH
U26900MH1937PLC002651,DGP SECURITIES LIMITED,500000,MUMBAI CITY
U26911WB1962PLC025691,RUNGTA MINES LIMITED,2300000,WEST SINGHBHUM
U26911WB1962PLC025691,RUNGTA MINES LIMITED,6000000,WEST SINGHBHUM
U26914GJ2007PTC051766,SIMPOLO VITRIFIED PRIVATE LIMITED,100000,AHMEDABAD
U26914GJ2007PTC051766,SIMPOLO VITRIFIED PRIVATE LIMITED,500000,HYDERABAD
U26914GJ2007PTC051766,SIMPOLO VITRIFIED PRIVATE LIMITED,3600000,MORBI
U26919TG2004PTC042401,R.A.K.CERAMICS INDIA PRIVATE LIMITED,1300000,EAST GODAVARI
U26919TN1982PLC009622,MURUGAPPA MORGAN THERMAL CERAMICS LTD,4900000,CHENNAI
U26919TN1982PLC009622,MURUGAPPA MORGAN THERMAL CERAMICS LTD,2900000,CHENNAI
U26921OR1958PLC000349,TRL KROSAKI REFRACTORIES LIMITED,8100000,JHARSUGUDA
U26921OR1958PLC000349,TRL KROSAKI REFRACTORIES LIMITED,6900000,JHARSUGUDA
U26922DL1996PLC075205,FORTUNE STONES LIMITED,2300000,CHHATARPUR
U26922DL1996PLC075205,FORTUNE STONES LIMITED,3000000,UDAIPUR
U26933GJ2009PTC057909,SUNSHINE TILES COMPANY PRIVATE LIMITED,300000,AHMEDABAD
U26933GJ2009PTC057909,SUNSHINE TILES COMPANY PRIVATE LIMITED,100000,MORBI
U26933GJ2010PTC063189,SIMS CERAMIC PRIVATE LIMITED,7400000,MORBI
U26933GJ2010PTC063189,SIMS CERAMIC PRIVATE LIMITED,600000,RAJKOT
U26933GJ2010PTC063189,SIMS CERAMIC PRIVATE LIMITED,200000,SURENDRANAGAR
U26933GJ2010PTC063444,COSA CERAMICS PRIVATE LIMITED,400000,MORBI
U26933GJ2011PTC067661,SMALL JOHNSON FLOOR TILES PRIVATE LIMITED,200000,AHMEDABAD
U26933GJ2011PTC067661,SMALL JOHNSON FLOOR TILES PRIVATE LIMITED,200000,RAJKOT
U26933GJ2011PTC067661,SMALL JOHNSON FLOOR TILES PRIVATE LIMITED,100000,SABARKANTHA
