CIN,COMPNAME,PPNAME,CC
L17110GJ1986PLC008942,JINDAL WORLDWIDE LIMITED,Bharatiya Janta Party,1
U67190MH1955PTC010652,GDP INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U29253WB1980PLC032447,VIKRAM INDIA LTD,Bharatiya Janta Party,1
U67120MH1994PLC082048,VENTURA SECURITIES LIMITED,Bharatiya Janta Party,1
L45200GJ2005PLC046870,HEC INFRA PROJECTS LIMITED,Bharatiya Janta Party,1
U93090MH2006PTC165464,URBAN TELECOM PRIVATE LIMITED,Bharatiya Janta Party,1
U14108MH1997PLC107300,ASHAPURA VOLCLAY LIMITED,Bharatiya Janta Party,1
U74899DL1987PTC030025,RAVI DEVELOPERS PVT LTD,Bharatiya Janta Party,1
U29130MH1988PTC046951,MARATHWADA AUTO COMPO PRIVATE LIMITED,Bharatiya Janta Party,1
U27204GJ1995PTC025974,JK SECURITIES PVT LTD,Bharatiya Janta Party,1
L27310ML2011PLC008578,SHYAM CENTURY FERROUS LIMITED,Bharatiya Janta Party,1
U40300GJ1989PTC011786,SAUMYA CONSTRUCTION PRIVATE LIMITED,Bharatiya Janta Party,1
L51909MH1988PLC287553,DISH TV INDIA LIMITED,Bharatiya Janta Party,1
U45201GJ1988PTC011033,VIJAY M. MISTRY CONSTRUCTION PRIVATE LIMITED,Bharatiya Janta Party,1
U01403DL2009PTC187000,REDSON RETAIL AND REALITY PRIVATE LIMITED,Bharatiya Janta Party,1
U99999MH2000PLC126835,MILTON GLOBAL LIMITED,Bharatiya Janta Party,1
U45400TG2007PLC053432,KMV PROJECTS LIMITED,Bharatiya Janta Party,1
L26912DL1991PLC045449,SAINIK FINANCE & INDUSTRIES LIMITED,Bharatiya Janta Party,1
U24237DL2006PLC144789,PATANJALI AYURVED LIMITED,Bharatiya Janta Party,1
L27110GJ1989PLC011748,STEELCO GUJARAT LIMITED,Bharatiya Janta Party,1
U55101WB1990PTC049637,SALASAR SERVICES (INSURANCE BROKERS) PRIVATE LIMITED,Bharatiya Janta Party,1
L29249GJ1986PLC009126,ELECTROTHERM (INDIA) LIMITED,Bharatiya Janta Party,1
L80301MH2010PLC198405,ZEE LEARN LIMITED,Bharatiya Janta Party,1
U14219KA1962PLC001473,MINERAL ENTERPRISES LIMITED,Bharatiya Janta Party,1
U85910MH1985PTC037182,BIRLA INFRASTRUCTURE PVT LTD,Bharatiya Janta Party,1
U26942OR1993PLC003339,SITA CEMENT LTD,Bharatiya Janta Party,1
U60100TG1996PTC023894,PATIL RAIL INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
L45200GJ1995PLC028373,PRABHAV INDUSTRIES LIMITED,Bharatiya Janta Party,1
U45201RJ1992PTC006421,BUILDERS ALLIANCE PRIVATE LIMITED,Bharatiya Janta Party,1
L74899DL1989PLC034995,CANTABIL RETAIL INDIA LIMITED,Bharatiya Janta Party,1
U74140TG1994PLC018833,RAMKY ENVIRO ENGINEERS LIMITED,Bharatiya Janta Party,1
U24117TN1982PTC017092,JAKHAU SALT COMPANY PRIVATE LIMITED,Bharatiya Janta Party,1
L67120MH1992PLC070121,PRIME PROPERTY DEVELOPMENT CORPORATION LIMITED,Bharatiya Janta Party,1
U10102DL1998PTC094328,GLOBAL COAL AND MINING PRIVATE LIMITED,Bharatiya Janta Party,1
U67200WB2008PLC128771,HEIGHT INSURANCE SERVICES LIMITED,Bharatiya Janta Party,1
U45201GJ2005PTC045296,SHEETAL INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
L99999MH1965PLC013392,TAPARIA TOOLS LIMITED,Bharatiya Janta Party,1
U70101WB1981PTC034275,SWETA ESTATES PVT LTD,Bharatiya Janta Party,1
U17230AP1981PTC002897,RADHIKA TWINES PVT LIMITED,Bharatiya Janta Party,1
U65910KL1998PLC012154,MUTHOOTTU MINI FINANCIERS LIMITED,Bharatiya Janta Party,1
U70100GJ1981PTC004586,SAUMYA CONSTRUCTION PRIVATE LIMITED,Bharatiya Janta Party,1
U99999MH1995PTC086981,ECHJE TECHNOLOGIES PRIVATE LIMITED,Bharatiya Janta Party,1
U67110WB2007PTC121024,REGENCY STOCK BROKING PRIVATE LIMITED,Bharatiya Janta Party,1
U28113MH1996PLC096835,VIRAJ PROFILES LIMITED,Bharatiya Janta Party,1
U61100MH1994PLC083429,PFS SHIPPING (INDA) LIMITED,Bharatiya Janta Party,1
L51909WB1980PLC033010,MAURIA UDYOG LTD,Bharatiya Janta Party,1
U24231MH1974PTC017243,AQUAPHARM CHEMICALS PRIVATE LIMITED,Bharatiya Janta Party,1
L20211CH1991PLC011732,STYLAM INDUSTRIES LIMITED,Bharatiya Janta Party,1
U67190TG2008PLC057122,ECAP EQUITIES LIMITED,Bharatiya Janta Party,1
U65910GJ1992PLC017544,MARWADI SHARES AND FINANCE LIMITED,Bharatiya Janta Party,1
U70102PN2010PTC135427,OXFORD GOLF AND RESORTS PRIVATE LIMITED,Bharatiya Janta Party,1
U17100MH1995PTC089950,HEMLINES TEXTILE EXPORTS PRIVATE LIMITED,Bharatiya Janta Party,1
U29299RJ1971PLC001379,WOLKEM INDIA LIMITED,Bharatiya Janta Party,1
L17110MH1983PLC030117,VALSON INDUSTRIES LIMITED,Bharatiya Janta Party,1
L99999MH1946PLC004768,LARSEN AND TOUBRO LIMITED,Bharatiya Janta Party,1
U63010MH1983PTC031277,ARJUN TRANSPORT CO PVT LTD,Bharatiya Janta Party,1
U99999MH1979PLC021711,AVIK PHARMACEUTICALS LIMITED,Bharatiya Janta Party,1
L28999GJ1992PLC018570,GUJARAT FOILS LIMITED,Bharatiya Janta Party,1
L17110MH1983PLC030245,BINAYAK TEX PROCESSORS LTD,Bharatiya Janta Party,1
U74999AP1992PLC014388,GVK INDUSTRIES LIMITED,Bharatiya Janta Party,1
U74899DL1994PLC058812,BIOTECH INDIA LIMITED,Bharatiya Janta Party,1
L99999GJ1987PLC022333,HESTER BIOSCIENCES LIMITED,Bharatiya Janta Party,1
L31300GJ1992PLC018198,DIAMOND POWER INFRASTRUCTURE LIMITED,Bharatiya Janta Party,1
L31500KA1991PLC095519,PHOENIX LAMPS LIMITED,Bharatiya Janta Party,1
U17110GJ1988PLC010634,CHIRIPAL INDUSTRIES LIMITED,Bharatiya Janta Party,1
U35911PB1966PLC002667,HERO CYCLES LIMITED,Bharatiya Janta Party,1
U45203AP1996PLC023529,KRISHNAPATNAM PORT COMPANY LIMITED,Bharatiya Janta Party,1
U73100GJ1999PLC035640,PALSANA ENVIRO PROTECTION LIMITED,Bharatiya Janta Party,1
L17110DN1986PLC000334,ALOK INDUSTRIES LIMITED,Bharatiya Janta Party,1
U45207MH2007PTC173440,PAN INDIA PARYATAN PRIVATE LIMITED,Bharatiya Janta Party,1
U24100DL1993PLC052285,DHANUKA LABORATORIES LIMITED,Bharatiya Janta Party,1
U26914GJ2007PTC052095,CORAL GOLD TILES PRIVATE LIMITED,Bharatiya Janta Party,1
U24239MH1961PTC012098,USV PRIVATE LIMITED,Bharatiya Janta Party,1
U45101MP2006PTC018665,SHANTI REALTY PVT LTD,Bharatiya Janta Party,1
L17111TZ2003PLC010518,K.P.R. MILL LIMITED,Bharatiya Janta Party,1
U70101DL1987PLC029594,SHIPRA ESTATE LIMITED,Bharatiya Janta Party,1
U74300MH1991PTC061521,JAYA ADVERTISING PRIVATE LIMITED,Bharatiya Janta Party,1
U63022GJ1979PTC003485,MEBHAV INVESTMENT PVT LTD,Bharatiya Janta Party,1
U01403DL1994PTC060206,CRYSTAL CROP PROTECTION PRIVATE LIMITED,Bharatiya Janta Party,1
U74900TN2015PTC098941,PPN INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U51109WB2005PTC105319,DARSH DEVELOPER PRIVATE LIMITED,Bharatiya Janta Party,1
U74900DL2012PTC231688,KRISHNA STRATEGIC SERVICES PRIVATE LIMITED,Bharatiya Janta Party,1
U45201TN2004PLC052638,PRINCE FOUNDATIONS LIMITED,Bharatiya Janta Party,1
U24239TG2006PLC050060,SRI BIOTECH LABORATORIES INDIA LIMITED,Bharatiya Janta Party,1
U24110GJ1979PTC003466,ASHAHI CHEMICAL INDUSTRIES PRIVATE LIMITED,Bharatiya Janta Party,1
U40109KA1998PLC052000,SJK POWERGEN LIMITED,Bharatiya Janta Party,1
U70101MH1994PTC081108,MACROTECH CONSTRUCTIONS PRIVATE LIMITED,Bharatiya Janta Party,1
