,Unnamed: 0,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr
146,146,DAVANAGERE,KARNATAKA,GEN,1.6,1.0,1,0,0,0,0,0,1,0,2,0.0
147,147,DEORIA,UTTAR PRADESH,GEN,27.3,1.0,1,0,0,0,0,0,1,0,3,0.0
148,148,DEWAS,MADHYA PRADESH,SC,22.8,0.0,1,1,0,0,0,7480000000,1,0,90,4.0
149,149,DHANBAD,JHARKHAND,GEN,25.6,0.0,1,1,0,1,0,2280000000,0,0,35,0.0
150,150,DHAR,MADHYA PRADESH,ST,9.7,0.0,1,1,0,0,0,3940000000,1,0,72,6.0
151,151,DHARMAPURI,TAMIL NADU,GEN,7.0,0.0,1,0,0,0,0,2130000000,1,0,35,1.0
152,152,DHARWAD,KARNATAKA,GEN,10.9,0.0,1,0,0,0,0,540000000,1,0,25,2.0
153,153,DHAURAHRA,UTTAR PRADESH,GEN,11.9,0.0,1,0,0,0,0,630000000,1,0,12,0.0
154,154,DHENKANAL,ODISHA,GEN,13.2,0.0,0,1,0,1,0,26500000000,0,0,296,1.0
155,155,DHUBRI,ASSAM,GEN,16.8,0.0,0,0,0,1,0,0,0,1,1,0.0
156,156,DHULE,MAHARASHTRA,GEN,13.3,0.0,1,1,0,0,0,12500000000,1,0,220,8.0
157,157,DIAMOND HARBOUR,WEST BENGAL,GEN,5.7,0.0,0,1,0,0,0,1090000000,1,0,16,1.0
158,158,DIBRUGARH,ASSAM,GEN,20.8,0.0,1,0,0,0,0,4800000000,1,0,11,3.0
159,159,DINDIGUL,TAMIL NADU,GEN,11.8,0.0,0,1,0,0,0,1390000000,1,0,13,1.0
160,160,DINDORI,MAHARASHTRA,ST,25.5,0.0,1,1,0,0,0,11470000000,1,0,205,8.0
161,161,DOMARIYAGANJ,UTTAR PRADESH,GEN,11.1,0.0,1,0,0,1,0,0,0,0,0,0.0
162,162,DUM DUM,WEST BENGAL,GEN,13.7,0.0,0,1,0,0,0,240000000,1,0,38,0.0
163,163,DUMKA,JHARKHAND,ST,4.3,0.0,0,0,0,1,0,0,0,1,2,0.0
164,164,DURG,CHHATTISGARH,GEN,1.3,0.0,0,0,0,0,0,5740000000,1,1,26,1.0
165,165,EAST DELHI,DELHI,GEN,15.9,0.0,1,0,0,0,0,16090000000,1,0,5,1.0
166,166,ELURU,ANDHRA PRADESH,GEN,8.5,0.0,1,1,1,0,0,11030000000,1,0,48,2.0
167,167,ERNAKULAM,KERALA,GEN,10.2,0.0,0,1,0,0,0,19990000000,1,0,24,7.0
168,168,ERODE,TAMIL NADU,GEN,21.0,0.0,0,1,0,0,0,900000000,1,0,58,2.0
169,169,ETAH,UTTAR PRADESH,GEN,21.7,0.0,1,0,0,0,0,0,1,0,1,0.0
170,170,ETAWAH,UTTAR PRADESH,SC,18.4,0.0,1,0,0,0,0,3180000000,1,0,8,1.0
171,171,FAIZABAD,UTTAR PRADESH,GEN,27.6,0.0,1,0,0,0,0,410000000,1,0,270,0.0
172,172,FARIDABAD,HARYANA,GEN,41.3,1.0,1,1,0,0,0,5650000000,1,0,254,10.0
173,173,FARIDKOT,PUNJAB,SC,16.7,0.0,0,0,0,1,0,660000000,0,1,22,0.0
174,174,FARRUKHABAD,UTTAR PRADESH,GEN,15.5,0.0,1,0,0,0,0,0,1,0,1,0.0
175,175,FATEHGARH SAHIB,PUNJAB,SC,5.3,0.0,0,0,0,0,0,7470000000,1,1,66,9.0
176,176,FATEHPUR,UTTAR PRADESH,GEN,17.7,1.0,1,0,0,1,0,0,0,0,3,0.0
177,177,FATEHPUR SIKRI,UTTAR PRADESH,GEN,17.9,0.0,1,0,0,0,0,1090000000,1,0,16,3.0
178,178,FIROZABAD,UTTAR PRADESH,GEN,10.3,0.0,0,1,0,0,0,10000000,1,0,0,0.0
179,179,FIROZPUR,PUNJAB,GEN,2.8,0.0,1,1,0,1,0,450000000,0,0,20,0.0
180,180,GADCHIROLI-CHIMUR,MAHARASHTRA,ST,23.1,0.0,1,1,0,1,0,2070000000,0,0,23,3.0
181,181,GANDHINAGAR,GUJARAT,GEN,42.5,0.0,1,1,0,0,0,90030000000,1,0,444,36.0
182,182,GANGANAGAR,RAJASTHAN,SC,23.2,1.0,1,1,0,0,0,20000000,1,0,25,0.0
183,183,GARHWAL,UTTARAKHAND,GEN,27.1,0.0,1,0,0,0,0,31330000000,1,0,27,0.0
184,184,GAUHATI,ASSAM,GEN,20.9,0.0,1,0,0,1,0,2400000000,0,0,109,0.0
185,185,GAUTAM BUDHHA NAGAR,UTTAR PRADESH,GEN,23.4,1.0,1,0,0,0,1,2660000000,1,0,222,0.0
186,186,GAYA,BIHAR,SC,14.3,0.0,1,1,0,1,0,710000000,0,0,3,0.0
187,187,GHATAL,WEST BENGAL,GEN,19.1,0.0,0,1,0,0,0,0,1,0,29,0.0
188,188,GHAZIABAD,UTTAR PRADESH,GEN,42.3,1.0,1,0,0,0,1,840000000,1,0,133,3.0
189,189,GHAZIPUR,UTTAR PRADESH,GEN,3.3,1.0,1,0,0,0,1,70000000,1,0,0,0.0
190,190,GHOSI,UTTAR PRADESH,GEN,14.0,0.0,1,0,0,0,0,650000000,1,0,1,0.0
191,191,GIRIDIH,JHARKHAND,GEN,4.2,0.0,1,1,0,1,0,2280000000,0,0,35,0.0
192,192,GODDA,JHARKHAND,GEN,5.8,0.0,1,1,0,1,0,0,0,0,4,0.0
193,193,GONDA,UTTAR PRADESH,GEN,18.4,0.0,1,0,0,1,0,180000000,0,0,6,0.0
194,194,GOPALGANJ,BIHAR,SC,31.8,0.0,1,1,0,0,0,0,1,0,0,0.0
195,195,GORAKHPUR,UTTAR PRADESH,GEN,30.1,0.0,1,0,0,0,0,700000000,1,0,4,0.0
196,196,GULBARGA,KARNATAKA,SC,7.5,0.0,0,1,0,1,0,1550000000,0,0,23,0.0
197,197,GUNA,MADHYA PRADESH,GEN,12.4,0.0,0,0,0,1,0,0,0,1,2,0.0
198,198,GUNTUR,ANDHRA PRADESH,GEN,5.6,0.0,1,0,0,0,0,5850000000,1,0,22,3.0
199,199,GURDASPUR,PUNJAB,GEN,13.0,0.0,1,1,0,0,0,120000000,1,0,23,0.0
200,200,GURGAON,HARYANA,GEN,20.8,1.0,1,1,0,1,1,55580000000,0,0,219,26.0
201,201,GWALIOR,MADHYA PRADESH,GEN,3.0,1.0,1,1,0,0,0,100000000,1,0,2,0.0
202,202,HAJIPUR,BIHAR,SC,24.9,1.0,0,0,0,0,0,0,1,1,6,0.0
203,203,HAMIRPUR,HIMACHAL PRADESH,GEN,11.8,0.0,1,0,1,0,1,680000000,1,0,287,1.0
204,204,HAMIRPUR,UTTAR PRADESH,GEN,27.4,0.0,1,0,0,0,0,100000000,1,0,287,1.0
205,205,HARDOI,UTTAR PRADESH,SC,8.4,0.0,1,0,0,0,0,60000000,1,0,0,0.0
206,206,HARDWAR,UTTARAKHAND,GEN,15.1,0.0,1,0,0,1,0,8730000000,0,0,336,6.0
207,207,HASSAN,KARNATAKA,GEN,8.8,0.0,0,0,0,0,0,300000000,1,1,22,1.0
208,208,HATHRAS,UTTAR PRADESH,SC,31.1,0.0,1,0,0,0,0,800000000,1,0,8,0.0
209,209,HATKANANGLE,MAHARASHTRA,GEN,15.0,0.0,1,0,0,0,0,3220000000,1,0,64,1.0
210,210,HAVERI,KARNATAKA,GEN,7.8,0.0,1,0,0,1,0,0,0,0,7,1.0
211,211,HAZARIBAGH,JHARKHAND,GEN,16.5,1.0,1,1,0,1,1,800000000,0,0,12,0.0
212,212,HINDUPUR,ANDHRA PRADESH,GEN,8.3,0.0,1,1,0,0,0,19390000000,1,0,46,0.0
213,213,HINGOLI,MAHARASHTRA,GEN,0.2,0.0,0,0,0,1,0,1040000000,0,1,8,0.0
214,214,HISAR,HARYANA,GEN,2.8,0.0,0,0,0,0,0,2670000000,1,1,9,1.0
215,215,HOOGHLY,WEST BENGAL,GEN,14.0,0.0,0,1,0,0,0,760000000,1,0,28,0.0
216,216,HOSHANGABAD,MADHYA PRADESH,GEN,37.8,0.0,1,1,0,0,0,1690000000,1,0,48,1.0
